Time,X,Y,InOpen,InClosed
24.44,32.1807,-0.226954,0,1
24.48,31.5409,-0.26321,0,1
24.52,31.2101,-0.289658,0,1
24.56,30.6462,-0.356844,0,1
24.6,30.1258,-0.379524,0,1
24.64,29.5919,-0.370689,0,1
24.68,29.2884,-0.473706,0,1
24.72,28.89,-0.583167,0,1
24.76,28.5802,-0.567825,0,1
24.8,28.2191,-0.600899,0,1
24.84,27.87,-0.618948,0,1
24.88,27.5692,-0.566191,0,1
24.92,27.1292,-0.427346,0,1
24.96,26.7009,-0.272321,0,1
25,26.2123,-0.128296,0,1
25.04,25.6519,-0.07891,0,1
25.08,24.9397,-0.470491,0,1
25.12,24.174,-0.697572,0,1
25.16,23.3579,-0.958141,0,1
25.2,22.559,-1.16411,0,1
25.24,21.7131,-1.31694,0,1
25.28,20.819,-1.38384,0,1
25.32,19.9684,-1.39169,0,1
25.36,19.1415,-1.31428,0,1
25.4,18.3025,-1.23248,0,1
25.44,17.5404,-1.11617,0,1
25.48,16.719,-0.641681,0,1
25.52,15.8913,-0.41785,0,1
25.56,15.4878,-0.248492,0,1
25.6,14.7624,-0.152049,0,1
25.64,13.9809,-0.12559,0,1
25.68,13.2857,-0.514481,0,1
25.72,12.6575,-0.726334,0,1
25.76,12.1124,-0.938388,0,1
25.8,11.6871,-1.13489,0,1
25.84,11.3868,-1.29129,0,1
25.88,11.1401,-1.39778,0,1
25.92,10.9779,-1.43079,0,1
25.96,10.7934,-1.40242,0,1
26,10.5872,-1.29826,0,1
26.04,10.4101,-1.16757,0,1
26.08,10.1694,-0.767019,0,1
26.12,9.91637,-0.511649,0,1
26.16,9.71585,-0.326584,0,1
26.2,9.51976,-0.0127757,0,1
26.24,9.32176,0.200389,0,1
26.28,9.15643,0.346067,0,1
26.32,9.04742,0.473001,0,1
26.36,8.91606,0.558695,0,1
26.4,8.82451,0.664864,0,1
26.44,8.70604,0.752986,0,1
26.48,8.6153,0.814441,0,1
26.52,8.57009,0.840585,0,1
26.56,8.51002,1.31698,0,1
26.6,8.55988,1.52795,0,1
26.64,8.61167,1.77628,0,1
26.68,8.71014,1.95636,0,1
26.72,8.75691,2.11416,0,1
26.76,8.83931,2.22393,0,1
26.8,8.85398,2.31596,0,1
26.84,8.97428,2.05461,0,1
26.88,8.92714,2.39403,0,1
26.92,8.88092,2.46578,0,1
26.96,8.86914,2.52068,0,1
27,8.82994,2.58108,0,1
27.04,8.76985,2.61259,0,1
27.08,8.69432,2.62741,0,1
27.12,8.67352,2.6585,0,1
27.16,8.59569,2.66559,0,1
27.2,8.45876,2.67679,0,1
27.24,8.32874,2.69825,0,1
27.28,8.16934,2.74809,0,1
27.32,7.98061,2.76685,0,1
27.36,7.82264,2.786,0,1
27.4,7.74375,2.80684,0,1
27.44,7.61263,2.8368,0,1
27.48,7.50513,2.82273,0,1
27.52,7.51679,2.7986,0,1
27.56,7.50112,2.78764,0,1
27.6,7.59244,2.73782,0,1
27.64,7.66761,2.67448,0,1
27.68,7.70238,2.6325,0,1
27.72,7.68462,2.57383,0,1
27.76,7.5982,2.4898,0,1
27.8,7.45728,2.40786,0,1
27.84,7.24912,2.31299,0,1
27.88,7.06702,2.28869,0,1
27.92,6.74259,2.23141,0,1
27.96,6.3553,2.18273,0,1
28,5.85614,2.16637,0,1
28.04,5.28275,2.09113,0,1
28.08,4.86182,1.75621,0,1
28.12,4.47231,1.54369,0,1
28.16,4.08201,1.35439,0,1
28.2,3.67668,1.19993,0,1
28.24,3.27643,1.06556,0,1
28.28,2.88725,0.760872,0,0
28.32,2.76322,0.460882,0,0
28.36,2.1065,0.125937,0,0
28.4,1.67857,0.0726771,0,0
28.44,1.02428,0.0918087,0,0
28.48,0.1493,0.66582,0,0
28.52,-0.257166,0.870357,0,0
28.56,-0.899112,1.21157,0,0
28.6,-1.70543,1.54488,0,0
28.64,-2.66326,1.75687,0,0
28.68,-3.563,1.94572,0,0
28.72,-4.44201,1.99707,0,0
28.76,-5.35749,1.94096,0,0
28.8,-6.26168,1.86709,0,0
28.84,-7.09195,1.7806,0,1
